source;target;Type;Weight
1;23;Undirected;3.0
1;30;Undirected;1.0
1;47;Undirected;1.0
1;84;Undirected;1.0
1;85;Undirected;1.0
1;125;Undirected;1.0
1;138;Undirected;1.0
1;157;Undirected;1.0
1;167;Undirected;1.0
1;176;Undirected;1.0
1;189;Undirected;1.0
1;192;Undirected;1.0
1;209;Undirected;1.0
1;213;Undirected;3.0
1;216;Undirected;1.0
1;225;Undirected;1.0
1;229;Undirected;1.0
1;252;Undirected;1.0
1;258;Undirected;1.0
1;292;Undirected;1.0
1;301;Undirected;1.0
1;381;Undirected;1.0
1;404;Undirected;1.0
1;414;Undirected;3.0
1;421;Undirected;1.0
1;442;Undirected;1.0
1;444;Undirected;3.0
1;446;Undirected;1.0
1;462;Undirected;1.0
1;503;Undirected;1.0
1;540;Undirected;1.0
1;559;Undirected;1.0
1;564;Undirected;1.0
1;568;Undirected;1.0
1;599;Undirected;1.0
1;626;Undirected;3.0
1;667;Undirected;3.0
1;669;Undirected;1.0
1;670;Undirected;1.0
1;672;Undirected;1.0
1;673;Undirected;1.0
1;682;Undirected;1.0
1;688;Undirected;1.0
1;721;Undirected;1.0
1;723;Undirected;1.0
1;724;Undirected;1.0
1;755;Undirected;1.0
1;780;Undirected;3.0
1;785;Undirected;1.0
1;799;Undirected;1.0
1;807;Undirected;1.0
1;813;Undirected;1.0
1;814;Undirected;1.0
1;824;Undirected;1.0
1;828;Undirected;1.0
1;842;Undirected;1.0
1;859;Undirected;1.0
1;862;Undirected;1.0
1;869;Undirected;1.0
1;891;Undirected;3.0
1;913;Undirected;1.0
1;929;Undirected;3.0
1;932;Undirected;1.0
1;933;Undirected;3.0
1;937;Undirected;1.0
1;938;Undirected;1.0
1;948;Undirected;1.0
1;959;Undirected;1.0
1;962;Undirected;1.0
1;977;Undirected;1.0
1;980;Undirected;1.0
1;1002;Undirected;1.0
1;1051;Undirected;1.0
1;1056;Undirected;1.0
1;1062;Undirected;1.0
1;1087;Undirected;1.0
1;1124;Undirected;2.0
1;1140;Undirected;1.0
1;1144;Undirected;1.0
1;1159;Undirected;3.0
1;1162;Undirected;1.0
1;1170;Undirected;1.0
1;1178;Undirected;1.0
1;1194;Undirected;1.0
1;1206;Undirected;1.0
1;1208;Undirected;1.0
1;1228;Undirected;1.0
1;1233;Undirected;3.0
1;1237;Undirected;1.0
1;1252;Undirected;1.0
1;1263;Undirected;1.0
1;1273;Undirected;1.0
1;1285;Undirected;1.0
1;1301;Undirected;3.0
1;1307;Undirected;1.0
1;1336;Undirected;1.0
1;1366;Undirected;1.0
1;1367;Undirected;1.0
1;1374;Undirected;1.0
1;1377;Undirected;3.0
1;1393;Undirected;1.0
1;1397;Undirected;1.0
1;1410;Undirected;1.0
1;1424;Undirected;1.0
1;1432;Undirected;1.0
1;1433;Undirected;1.0
1;1434;Undirected;1.0
1;1438;Undirected;1.0
1;1440;Undirected;1.0
1;1443;Undirected;1.0
1;1450;Undirected;1.0
1;1453;Undirected;1.0
1;1454;Undirected;1.0
1;1459;Undirected;1.0
1;1477;Undirected;1.0
1;1479;Undirected;1.0
1;1509;Undirected;1.0
1;1554;Undirected;1.0
1;1584;Undirected;1.0
1;1606;Undirected;1.0
1;1615;Undirected;3.0
1;1620;Undirected;1.0
1;1637;Undirected;3.0
1;1662;Undirected;1.0
1;1665;Undirected;3.0
1;1669;Undirected;1.0
1;1678;Undirected;1.0
1;1701;Undirected;1.0
1;1705;Undirected;1.0
1;1712;Undirected;1.0
1;1716;Undirected;1.0
1;1735;Undirected;3.0
1;1744;Undirected;1.0
1;1763;Undirected;1.0
1;1769;Undirected;1.0
1;1776;Undirected;1.0
1;1782;Undirected;1.0
4;15;Undirected;1.0
4;28;Undirected;1.0
4;159;Undirected;1.0
4;181;Undirected;1.0
4;292;Undirected;1.0
4;453;Undirected;1.0
4;637;Undirected;1.0
4;741;Undirected;1.0
4;817;Undirected;1.0
4;961;Undirected;1.0
4;1064;Undirected;1.0
4;1265;Undirected;1.0
4;1312;Undirected;1.0
4;1313;Undirected;1.0
4;1325;Undirected;1.0
4;1541;Undirected;1.0
4;1587;Undirected;1.0
4;1616;Undirected;1.0
4;1638;Undirected;1.0
4;1649;Undirected;1.0
4;1755;Undirected;1.0
5;15;Undirected;1.0
5;28;Undirected;1.0
5;138;Undirected;1.0
5;229;Undirected;1.0
5;267;Undirected;1.0
5;292;Undirected;1.0
5;381;Undirected;1.0
5;421;Undirected;1.0
5;422;Undirected;1.0
5;437;Undirected;1.0
5;438;Undirected;1.0
5;442;Undirected;1.0
5;445;Undirected;1.0
5;454;Undirected;1.0
5;486;Undirected;1.0
5;521;Undirected;1.0
5;537;Undirected;1.0
5;546;Undirected;1.0
5;564;Undirected;1.0
5;578;Undirected;1.0
5;608;Undirected;1.0
5;617;Undirected;1.0
5;637;Undirected;1.0
5;650;Undirected;1.0
5;679;Undirected;1.0
5;682;Undirected;1.0
5;721;Undirected;1.0
5;723;Undirected;1.0
5;739;Undirected;1.0
5;755;Undirected;1.0
5;785;Undirected;1.0
5;807;Undirected;1.0
5;813;Undirected;1.0
5;814;Undirected;1.0
5;817;Undirected;1.0
5;820;Undirected;1.0
5;859;Undirected;1.0
5;909;Undirected;1.0
5;913;Undirected;1.0
5;938;Undirected;1.0
5;959;Undirected;1.0
5;1002;Undirected;1.0
5;1064;Undirected;1.0
5;1084;Undirected;1.0
5;1094;Undirected;1.0
5;1124;Undirected;1.0
5;1155;Undirected;1.0
5;1194;Undirected;1.0
5;1242;Undirected;1.0
5;1263;Undirected;1.0
5;1265;Undirected;1.0
5;1273;Undirected;1.0
5;1279;Undirected;1.0
5;1324;Undirected;1.0
5;1325;Undirected;1.0
5;1327;Undirected;1.0
5;1334;Undirected;1.0
5;1363;Undirected;1.0
5;1366;Undirected;1.0
5;1367;Undirected;1.0
5;1373;Undirected;1.0
5;1374;Undirected;1.0
5;1393;Undirected;1.0
5;1432;Undirected;1.0
5;1433;Undirected;1.0
5;1459;Undirected;1.0
5;1475;Undirected;1.0
5;1479;Undirected;1.0
5;1484;Undirected;1.0
5;1508;Undirected;1.0
5;1509;Undirected;1.0
5;1512;Undirected;1.0
5;1563;Undirected;1.0
5;1587;Undirected;1.0
5;1608;Undirected;1.0
5;1649;Undirected;1.0
5;1669;Undirected;1.0
5;1712;Undirected;1.0
5;1782;Undirected;1.0
6;56;Undirected;1.0
6;164;Undirected;1.0
6;187;Undirected;1.0
6;244;Undirected;2.0
6;309;Undirected;2.0
6;325;Undirected;1.0
6;329;Undirected;1.0
6;337;Undirected;1.0
6;342;Undirected;1.0
6;363;Undirected;1.0
6;442;Undirected;2.0
6;463;Undirected;1.0
6;524;Undirected;2.0
6;560;Undirected;1.0
6;633;Undirected;1.0
6;687;Undirected;2.0
6;763;Undirected;1.0
6;864;Undirected;2.0
6;1059;Undirected;1.0
6;1073;Undirected;1.0
6;1108;Undirected;1.0
6;1268;Undirected;1.0
6;1307;Undirected;1.0
6;1373;Undirected;1.0
6;1551;Undirected;1.0
6;1618;Undirected;1.0
6;1654;Undirected;1.0
6;1658;Undirected;2.0
6;1678;Undirected;1.0
6;1784;Undirected;2.0
7;8;Undirected;1.0
7;21;Undirected;1.0
7;27;Undirected;1.0
7;222;Undirected;1.0
7;223;Undirected;1.0
7;268;Undirected;1.0
7;281;Undirected;1.0
7;290;Undirected;1.0
7;295;Undirected;1.0
7;324;Undirected;1.0
7;399;Undirected;1.0
7;516;Undirected;1.0
7;527;Undirected;1.0
7;565;Undirected;1.0
7;569;Undirected;1.0
7;600;Undirected;1.0
7;602;Undirected;1.0
7;613;Undirected;1.0
7;628;Undirected;1.0
7;640;Undirected;1.0
7;800;Undirected;1.0
7;803;Undirected;1.0
7;813;Undirected;1.0
7;873;Undirected;1.0
7;874;Undirected;1.0
7;915;Undirected;1.0
7;978;Undirected;1.0
7;1064;Undirected;1.0
7;1066;Undirected;1.0
7;1125;Undirected;1.0
7;1145;Undirected;1.0
7;1172;Undirected;1.0
7;1235;Undirected;1.0
7;1262;Undirected;1.0
7;1378;Undirected;1.0
7;1501;Undirected;1.0
7;1554;Undirected;1.0
7;1579;Undirected;1.0
7;1612;Undirected;1.0
7;1660;Undirected;1.0
7;1675;Undirected;1.0
8;21;Undirected;1.0
8;27;Undirected;2.0
8;222;Undirected;1.0
8;223;Undirected;2.0
8;268;Undirected;2.0
8;281;Undirected;2.0
8;290;Undirected;1.0
8;295;Undirected;2.0
8;324;Undirected;1.0
8;399;Undirected;1.0
8;516;Undirected;1.0
8;527;Undirected;1.0
8;565;Undirected;1.0
8;569;Undirected;1.0
8;600;Undirected;2.0
8;602;Undirected;1.0
8;613;Undirected;2.0
8;628;Undirected;1.0
8;640;Undirected;1.0
8;800;Undirected;1.0
8;803;Undirected;1.0
8;813;Undirected;2.0
8;873;Undirected;1.0
8;874;Undirected;2.0
8;915;Undirected;2.0
8;978;Undirected;2.0
8;1064;Undirected;1.0
8;1066;Undirected;1.0
8;1125;Undirected;1.0
8;1145;Undirected;2.0
8;1172;Undirected;1.0
8;1235;Undirected;2.0
8;1262;Undirected;2.0
8;1378;Undirected;1.0
8;1501;Undirected;1.0
8;1554;Undirected;1.0
8;1579;Undirected;2.0
8;1612;Undirected;1.0
8;1660;Undirected;1.0
8;1675;Undirected;1.0
9;121;Undirected;1.0
9;468;Undirected;1.0
9;499;Undirected;1.0
9;550;Undirected;1.0
9;604;Undirected;1.0
9;618;Undirected;1.0
9;695;Undirected;1.0
9;886;Undirected;1.0
9;1077;Undirected;1.0
9;1247;Undirected;1.0
9;1249;Undirected;1.0
9;1343;Undirected;1.0
9;1516;Undirected;1.0
9;1564;Undirected;1.0
9;1713;Undirected;1.0
9;1714;Undirected;1.0
10;54;Undirected;1.0
10;286;Undirected;1.0
10;306;Undirected;1.0
10;351;Undirected;1.0
10;352;Undirected;1.0
10;416;Undirected;1.0
10;428;Undirected;1.0
10;436;Undirected;1.0
10;519;Undirected;1.0
10;520;Undirected;1.0
10;620;Undirected;1.0
10;670;Undirected;1.0
10;674;Undirected;1.0
10;698;Undirected;1.0
10;810;Undirected;1.0
10;825;Undirected;1.0
10;969;Undirected;1.0
10;982;Undirected;1.0
10;1019;Undirected;1.0
10;1039;Undirected;1.0
10;1243;Undirected;1.0
10;1291;Undirected;1.0
10;1292;Undirected;1.0
10;1293;Undirected;1.0
10;1294;Undirected;1.0
10;1339;Undirected;1.0
10;1360;Undirected;1.0
10;1371;Undirected;1.0
10;1461;Undirected;1.0
10;1468;Undirected;1.0
10;1522;Undirected;1.0
10;1525;Undirected;1.0
10;1559;Undirected;1.0
12;59;Undirected;3.0
12;80;Undirected;3.0
12;115;Undirected;1.0
12;150;Undirected;2.0
12;167;Undirected;3.0
12;199;Undirected;2.0
12;258;Undirected;1.0
12;269;Undirected;3.0
12;274;Undirected;1.0
12;284;Undirected;3.0
12;321;Undirected;3.0
12;381;Undirected;3.0
12;397;Undirected;3.0
12;446;Undirected;3.0
12;512;Undirected;3.0
12;540;Undirected;1.0
12;635;Undirected;1.0
12;669;Undirected;3.0
12;682;Undirected;1.0
12;697;Undirected;3.0
12;740;Undirected;3.0
12;813;Undirected;3.0
12;824;Undirected;1.0
12;869;Undirected;1.0
12;871;Undirected;3.0
12;872;Undirected;3.0
12;907;Undirected;1.0
12;913;Undirected;1.0
12;914;Undirected;1.0
12;932;Undirected;3.0
12;959;Undirected;3.0
12;977;Undirected;1.0
12;1007;Undirected;3.0
12;1010;Undirected;3.0
12;1029;Undirected;3.0
12;1094;Undirected;3.0
12;1112;Undirected;3.0
12;1138;Undirected;3.0
12;1140;Undirected;3.0
12;1178;Undirected;3.0
12;1207;Undirected;2.0
12;1208;Undirected;3.0
12;1218;Undirected;2.0
12;1228;Undirected;1.0
12;1252;Undirected;1.0
12;1273;Undirected;1.0
12;1277;Undirected;1.0
12;1285;Undirected;2.0
12;1307;Undirected;3.0
12;1310;Undirected;1.0
12;1382;Undirected;1.0
12;1393;Undirected;3.0
12;1410;Undirected;3.0
12;1509;Undirected;3.0
12;1584;Undirected;3.0
12;1587;Undirected;1.0
12;1593;Undirected;3.0
12;1687;Undirected;1.0
12;1744;Undirected;3.0
13;26;Undirected;1.0
13;54;Undirected;1.0
13;98;Undirected;1.0
13;112;Undirected;1.0
13;121;Undirected;1.0
13;129;Undirected;1.0
13;298;Undirected;1.0
13;327;Undirected;1.0
13;334;Undirected;1.0
13;358;Undirected;1.0
13;428;Undirected;1.0
13;475;Undirected;1.0
13;519;Undirected;1.0
13;550;Undirected;1.0
13;625;Undirected;1.0
13;670;Undirected;1.0
13;734;Undirected;1.0
13;812;Undirected;1.0
13;857;Undirected;1.0
13;925;Undirected;1.0
13;1009;Undirected;1.0
13;1032;Undirected;1.0
13;1052;Undirected;1.0
13;1103;Undirected;1.0
13;1147;Undirected;1.0
13;1160;Undirected;1.0
13;1224;Undirected;1.0
13;1293;Undirected;1.0
13;1294;Undirected;1.0
13;1374;Undirected;1.0
13;1393;Undirected;1.0
13;1406;Undirected;1.0
13;1605;Undirected;2.0
13;1624;Undirected;1.0
13;1710;Undirected;1.0
13;1742;Undirected;1.0
13;1778;Undirected;1.0
15;28;Undirected;2.0
15;88;Undirected;1.0
15;134;Undirected;1.0
15;138;Undirected;1.0
15;150;Undirected;1.0
15;159;Undirected;1.0
15;167;Undirected;1.0
15;181;Undirected;1.0
15;207;Undirected;1.0
15;229;Undirected;1.0
15;258;Undirected;1.0
15;267;Undirected;1.0
15;284;Undirected;1.0
15;292;Undirected;3.0
15;381;Undirected;2.0
15;421;Undirected;1.0
15;422;Undirected;1.0
15;437;Undirected;1.0
15;438;Undirected;1.0
15;442;Undirected;1.0
15;445;Undirected;1.0
15;446;Undirected;1.0
15;453;Undirected;1.0
15;454;Undirected;1.0
15;486;Undirected;1.0
15;521;Undirected;1.0
15;537;Undirected;1.0
15;543;Undirected;1.0
15;546;Undirected;2.0
15;564;Undirected;1.0
15;578;Undirected;1.0
15;608;Undirected;2.0
15;617;Undirected;1.0
15;637;Undirected;2.0
15;641;Undirected;1.0
15;642;Undirected;1.0
15;644;Undirected;1.0
15;650;Undirected;1.0
15;669;Undirected;1.0
15;675;Undirected;1.0
15;679;Undirected;1.0
15;682;Undirected;2.0
15;700;Undirected;1.0
15;703;Undirected;1.0
15;721;Undirected;1.0
15;723;Undirected;1.0
15;739;Undirected;1.0
15;741;Undirected;1.0
15;754;Undirected;1.0
15;755;Undirected;1.0
15;762;Undirected;1.0
15;785;Undirected;1.0
15;807;Undirected;1.0
15;809;Undirected;1.0
15;813;Undirected;2.0
15;814;Undirected;1.0
15;817;Undirected;2.0
15;820;Undirected;1.0
15;824;Undirected;1.0
15;859;Undirected;1.0
15;869;Undirected;1.0
15;909;Undirected;1.0
15;913;Undirected;2.0
15;932;Undirected;1.0
15;938;Undirected;1.0
15;959;Undirected;2.0
15;961;Undirected;1.0
15;975;Undirected;1.0
15;977;Undirected;1.0
15;1002;Undirected;1.0
15;1029;Undirected;1.0
15;1064;Undirected;2.0
15;1084;Undirected;1.0
15;1094;Undirected;2.0
15;1098;Undirected;1.0
15;1117;Undirected;1.0
15;1124;Undirected;1.0
15;1140;Undirected;1.0
15;1142;Undirected;1.0
15;1155;Undirected;1.0
15;1178;Undirected;1.0
15;1194;Undirected;1.0
15;1207;Undirected;1.0
15;1208;Undirected;1.0
15;1212;Undirected;1.0
15;1218;Undirected;1.0
15;1228;Undirected;1.0
15;1238;Undirected;1.0
15;1242;Undirected;1.0
15;1263;Undirected;1.0
15;1265;Undirected;2.0
15;1273;Undirected;2.0
15;1279;Undirected;1.0
15;1285;Undirected;1.0
15;1299;Undirected;1.0
15;1307;Undirected;1.0
15;1310;Undirected;1.0
15;1312;Undirected;1.0
15;1313;Undirected;1.0
15;1324;Undirected;2.0
15;1325;Undirected;2.0
15;1327;Undirected;1.0
15;1334;Undirected;1.0
15;1363;Undirected;2.0
15;1365;Undirected;1.0
15;1366;Undirected;1.0
15;1367;Undirected;1.0
15;1373;Undirected;1.0
15;1374;Undirected;1.0
15;1393;Undirected;2.0
15;1410;Undirected;1.0
15;1432;Undirected;1.0
15;1433;Undirected;1.0
15;1459;Undirected;1.0
15;1470;Undirected;1.0
15;1475;Undirected;1.0
15;1479;Undirected;1.0
15;1481;Undirected;1.0
15;1484;Undirected;1.0
15;1493;Undirected;1.0
15;1508;Undirected;2.0
15;1509;Undirected;2.0
15;1512;Undirected;2.0
15;1524;Undirected;1.0
15;1539;Undirected;1.0
15;1541;Undirected;1.0
15;1563;Undirected;1.0
15;1584;Undirected;1.0
15;1587;Undirected;2.0
15;1608;Undirected;1.0
15;1616;Undirected;1.0
15;1638;Undirected;1.0
15;1649;Undirected;2.0
15;1669;Undirected;1.0
15;1673;Undirected;1.0
15;1687;Undirected;1.0
15;1712;Undirected;1.0
15;1744;Undirected;1.0
15;1755;Undirected;1.0
15;1782;Undirected;1.0
16;1160;Undirected;1.0
18;29;Undirected;1.0
18;42;Undirected;1.0
18;53;Undirected;1.0
18;60;Undirected;1.0
18;66;Undirected;1.0
18;70;Undirected;1.0
18;85;Undirected;1.0
18;99;Undirected;1.0
18;117;Undirected;1.0
18;131;Undirected;1.0
18;138;Undirected;1.0
18;140;Undirected;1.0
18;154;Undirected;1.0
18;155;Undirected;1.0
18;156;Undirected;1.0
18;160;Undirected;1.0
18;211;Undirected;1.0
18;245;Undirected;1.0
18;252;Undirected;1.0
18;257;Undirected;1.0
18;270;Undirected;1.0
18;291;Undirected;1.0
18;297;Undirected;1.0
18;318;Undirected;1.0
18;323;Undirected;1.0
18;325;Undirected;1.0
18;341;Undirected;1.0
18;347;Undirected;1.0
18;394;Undirected;1.0
18;403;Undirected;1.0
18;420;Undirected;1.0
18;425;Undirected;1.0
18;429;Undirected;1.0
18;432;Undirected;1.0
18;447;Undirected;1.0
18;457;Undirected;1.0
18;467;Undirected;1.0
18;479;Undirected;1.0
18;503;Undirected;1.0
18;510;Undirected;1.0
18;515;Undirected;1.0
18;517;Undirected;1.0
18;523;Undirected;1.0
18;531;Undirected;1.0
18;534;Undirected;1.0
18;566;Undirected;1.0
18;578;Undirected;1.0
18;587;Undirected;1.0
18;596;Undirected;1.0
18;597;Undirected;1.0
18;599;Undirected;1.0
18;619;Undirected;1.0
18;622;Undirected;1.0
18;634;Undirected;1.0
18;636;Undirected;1.0
18;648;Undirected;1.0
18;659;Undirected;1.0
18;672;Undirected;1.0
18;705;Undirected;1.0
18;710;Undirected;1.0
18;713;Undirected;1.0
18;716;Undirected;1.0
18;732;Undirected;1.0
18;755;Undirected;1.0
18;759;Undirected;1.0
18;775;Undirected;1.0
18;790;Undirected;1.0
18;793;Undirected;1.0
18;802;Undirected;1.0
18;815;Undirected;1.0
18;816;Undirected;1.0
18;857;Undirected;1.0
18;878;Undirected;1.0
18;984;Undirected;1.0
18;1002;Undirected;1.0
18;1008;Undirected;1.0
18;1034;Undirected;1.0
18;1047;Undirected;1.0
18;1073;Undirected;1.0
18;1083;Undirected;1.0
18;1085;Undirected;1.0
18;1094;Undirected;1.0
18;1104;Undirected;1.0
18;1115;Undirected;1.0
18;1122;Undirected;1.0
18;1130;Undirected;1.0
18;1139;Undirected;1.0
18;1141;Undirected;1.0
18;1157;Undirected;1.0
18;1171;Undirected;1.0
18;1219;Undirected;1.0
18;1221;Undirected;1.0
18;1255;Undirected;1.0
18;1274;Undirected;1.0
18;1295;Undirected;1.0
18;1321;Undirected;1.0
18;1350;Undirected;1.0
18;1367;Undirected;1.0
18;1374;Undirected;1.0
18;1385;Undirected;1.0
18;1400;Undirected;1.0
18;1425;Undirected;1.0
18;1428;Undirected;1.0
18;1450;Undirected;1.0
18;1457;Undirected;1.0
18;1491;Undirected;1.0
18;1517;Undirected;1.0
18;1531;Undirected;1.0
18;1555;Undirected;1.0
18;1592;Undirected;1.0
18;1598;Undirected;1.0
18;1599;Undirected;1.0
18;1604;Undirected;1.0
18;1618;Undirected;1.0
18;1635;Undirected;1.0
18;1640;Undirected;1.0
18;1653;Undirected;1.0
18;1655;Undirected;1.0
18;1673;Undirected;1.0
18;1757;Undirected;1.0
18;1766;Undirected;1.0
18;1772;Undirected;1.0
18;1779;Undirected;1.0
18;1781;Undirected;1.0
19;26;Undirected;1.0
19;57;Undirected;1.0
19;61;Undirected;1.0
19;76;Undirected;1.0
19;87;Undirected;1.0
19;89;Undirected;1.0
19;102;Undirected;1.0
19;112;Undirected;1.0
19;124;Undirected;1.0
19;170;Undirected;1.0
19;180;Undirected;1.0
19;208;Undirected;1.0
19;237;Undirected;1.0
19;280;Undirected;1.0
19;287;Undirected;1.0
19;298;Undirected;1.0
19;334;Undirected;1.0
19;349;Undirected;1.0
19;379;Undirected;1.0
19;562;Undirected;1.0
19;678;Undirected;1.0
19;691;Undirected;1.0
19;692;Undirected;1.0
19;701;Undirected;1.0
19;730;Undirected;1.0
19;974;Undirected;1.0
19;990;Undirected;1.0
19;1044;Undirected;1.0
19;1096;Undirected;1.0
19;1101;Undirected;1.0
19;1102;Undirected;1.0
19;1152;Undirected;1.0
19;1161;Undirected;1.0
19;1175;Undirected;1.0
